ORDER,Time,Location,"Type of bomb (Incendiary Bomb= IB Explosive Bomb= EB, COB= Crude Oil Bomb)",Damage or other details (All dimensions at in ft unless stated),lat,lng,geocoder_match,geocoder_source
24,00:34,"Nos 82-184 inclusive, London, UK",EB,Slightly damaged houses.,51.49362140,-0.28006330,"Power Rd, Chiswick, London W4 5PY, UK",Google
25,00:34,"Ivy Lane, Brockley, SE4, London, UK",EB,Slightly damaged houses.,51.45844660,-0.03331860,"Ivy Rd, London, UK",Google
26,00:37,"Verney Road, Old Kent Road, SE16, London, UK",IB,"back room on 1st floor and contents slightly damaged. 40x20, contents damage",51.48547310,-0.07008780,"Old Kent Rd, London, UK",Google
27,00:38,"Verney Road, Old Kent Road, SE16, London, UK",IB,IB burned out street,51.48547310,-0.07008780,"Old Kent Rd, London, UK",Google
28,00:40,"127 Minard Road, Catford, SE6, London, UK",IB,Front room on 1st floor severely damaged,51.44107910,0.00058270,"127 Minard Rd, London SE6 1NN, UK",Google
29,00:40,"124 Southwark Park Road, SE16, London, UK",IB,back room on 1st floor and contents slightly damaged.,51.49245810,-0.06824560,"124 Southwark Park Rd., London SE16 3RP, UK",Google
30,00:44,"613 Old Kent Road Se15, London, UK",IB,Theatre 4 seats slightly damaged 4x2 roof,51.48366800,-0.06452790,"593-613 Old Kent Rd, London SE15 1LA, UK",Google
31,00:45,"709 Old Kent Road SE1, London, UK",IB,30x20 one floor building.,51.48241270,-0.06040870,"709 Old Kent Rd, London SE15 1JZ, UK",Google
32,00:45,"348 St. James' Road SE1, London, UK",IB,,51.48518050,-0.06579800,"348 St James's Rd, London, UK",Google
33,00:47,"Sportsbank Street, Catford, SE6., London, UK",EB,Three private houses damaged and three severely damaged,51.44399820,-0.01189790,"Sportsbank St, London SE6, UK",Google
34,00:50,"101 Storks Road, Bermondsey, SE16, London, UK",EB,4 private houses severely damaged,51.49581500,-0.06465550,"101 Stork's Rd, London SE16 4DE, UK",Google
35,01:10,"91 Ardgowan Road, Catford SE6, London, UK",IB,landing on 1st floor damaged,51.44161230,-0.00058270,"91 Ardgowan Rd, London SE6 1UY, UK",Google
36,01:14,"Chadwick road, Peckham, SE15, London, UK",EB & IB,Minor fire damage in all these thoroughfares,51.46807850,-0.07281900,"Chadwick Rd, London, UK",Google
37,01:14,"9 Love Walk, Camberwell, SE5, London, UK",-,Minor fire damage in all these thoroughfares,51.47138140,-0.08858850,"9 Love Walk, London SE5 8AD, UK",Google
38,01:14,"27 Claude Road, Peckham SE15, London, UK",-,Minor fire damage in all these thoroughfares,51.46740980,-0.06418130,"Claude Rd, London SE15, UK",Google
39,01:14,"33 Claude Road, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares,51.46740980,-0.06418130,"Claude Rd, London SE15, UK",Google
40,01:14,"190 Rye Lane, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares,51.46720690,-0.06650850,"190 Rye Ln, Greater, London SE15 4NF, UK",Google
41,01:14,"290 Southampton Way, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares,51.47590910,-0.07844170,"290 Southampton Way, London SE5 7EN, UK",Google
42,01:14,"77 Rye Lane, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares,51.47123700,-0.06938230,"77 Rye Ln, London SE15 5EX, UK",Google
43,01:14,"75 Rye Lane, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares,51.47125590,-0.06936560,"75 Rye Ln, London SE15 5EX, UK",Google
44,01:14,"66 East Surrey Grove, Peckham SE15, London, UK",-,Minor fire damage in all these thoroughfares,51.47736560,-0.07568150,"66 E Surrey Grove, London SE15 6EB, UK",Google
45,01:14,"91 Coleman Road, Camberwell, SE5, London, UK",-,Minor fire damage in all these thoroughfares,51.47902460,-0.08274560,"91 Coleman Rd, London SE5 7TF, UK",Google
46,01:52,"58 Brownhill Road, Catford, London, UK",-,IB (unexploded) on enclosed ground at rear of premises,51.44543940,-0.01498070,"58 Brownhill Rd, London SE6 2EJ, UK",Google
47,02:00,"7 Nunhead Green, Camberwell, SE15, London, UK",EB,house of 5 rooms and content severely damaged,51.46496870,-0.05912600,"7 Nunhead Grn, London SE15 3QQ, UK",Google
48,02:16,"727, Old Kent Road, Camberwell, SE15, London, UK",IB,"shop (bakery) and house of 6 rooms back room, ceiling and roof damaged.",51.48111030,-0.06034220,"727 Old Kent Rd, London SE15 1JL, UK",Google
49,02:16,"52 Brownhill Road , London, UK",-,Falling Shrapnel,51.44546330,-0.01516720,"52 Brownhill Rd, London SE6 2EJ, UK",Google
50,02:20,"84 Tressillain Road, Brockley SE4, London, UK",-,Falling Shrapnel,51.46359580,-0.02802830,"84A Tressillian Rd, London SE4 1YD, UK",Google
51,02:23,"83 Grange Road, Bermondsey, SE1, London, UK",IB,Grocer: front room 1st floor and contents slightly damaged. 4x2 roof damaged,51.49696200,-0.08003820,"83 Grange Walk, London SE1 3DT, UK",Google
52,02:25,"52 Southwark Park Road, SE16, London, UK",IB,Furniture dealer 30x20 building and contents damaged,51.49250910,-0.07183090,"52 Southwark Park Rd., London SE16 3RS, UK",Google
53,02:49,"Prince Edward Road, E9, London, UK",EB,Roadway and 3 private houses damaged,51.54447920,-0.02590670,"Prince Edward Rd, London E9, UK",Google
54,03:15,"12, Jewell Street, Mile End. E1, London, UK",IB,6 x 4ft of roof damage.,51.48001760,-0.09561240,"Jewell St, London SE5, UK",Google
55,03:45,"12 Harford St, Stepney E1, London, UK",IB,a building of 3 floors about 80 x 50ft and contents severely damaged,51.52160820,-0.03943190,"12 Harford St, London E1 4SJ, UK",Google
56,05:15,"Hazelbank Road, Catford SE6, London, UK",-,2x2 roadway damage,51.43691310,0.00128370,"Hazelbank Rd, London SE6, UK",Google
57,05:15,"Plough Way, SE16, London, UK",IB,"Timber importers, 200x150 buildings, canteen, workshops etc, dmaged,",51.49276860,-0.03872640,"Plough Way, London SE16, UK",Google
58,05:20,"Plough Way, SE16, London, UK",EB,Buildings damaged,51.49276860,-0.03872640,"Plough Way, London SE16, UK",Google
59,05:57,"28 Ringstead Road, Catford, SE6, London, UK",-,2x2 roadway damage,51.44647220,-0.01674350,"28 Ringstead Rd, London SE6 2BP, UK",Google
60,07:49,"786 Old Kent Road, Camberwell, SE15, London, UK",IB,"shop (tobacconist) and house of 6 rooms back room, ceiling and roof damaged.",51.47980340,-0.05787950,"786 Old Kent Rd, London SE15 1NZ, UK",Google
61,08:00,"7, Devonshire Grove, SE15, London, UK",IB,maritime engineers building of two floors 80x60 severely damaged.,51.48099180,-0.05935000,"Devonshire Grove, London SE15, UK",Google
62,08:00,"Bromley Road, Catford, SE6, London, UK",IB,IB on enclosed ground ,51.43595530,-0.01814070,"Bromley Rd, London SE6, UK",Google
63,08:02,"42 Brown Hill Road, Catford, SE6, London, UK",-,2x2 roadway damage,51.44552270,-0.01568760,"42 Brownhill Rd, London SE6 2EJ, UK",Google
64,10:04,"39 Loampit Vale, Lewisham SE13, London, UK",-,unexploded bomb on enclosed ground at rear of premises,51.46455440,-0.01402340,"39 Loampit Vale, London SE13 7RY, UK",Google
65,10:04,"19 Vivian Roan, Bethnal Green E2, London, UK",IB,4x3 ft of wooden fencing damaged in yard,51.52813400,-0.06165120,"London E2, UK",Google
66,10:42,"Milton Court Road, New Cross, Se14, London, UK",IB,IB burned out in street,51.48076200,-0.03649020,"Milton Ct Rd, London SE14, UK",Google
67,12:00,"39 Gilmore Road, Lewisham SE13, London, UK",-,unexplodedbomb on enclosed ground at rear of premises,51.46039310,-0.00656570,"39B Gilmore Rd, London SE13 5AD, UK",Google
68,12:45,"3 Drivers Buildings, Mile End Rd E1, London, UK",IB,"House of 4 rooms, top floor and contents damaged. Part of roof off",51.52197770,-0.04562250,"Mile End Rd, London E1, UK",Google
69,13:34,"110, Skidmore Street, London, UK",IB,Front room on first floor and contents damaged. 3 x 2ft of roof breakage,51.50635300,-0.08591770,"27 Tooley St, London SE1 2PR, UK",Google
70,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"(Owned by H.M War Department) E.50 A building of 2 floors about 300x200 used as workrooms,, machine rooms office and store damaged by explosion",51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
71,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"E.51 Two floor building 200x80, where insturments were stored severely damaged",51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
72,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"E.2, 3, 6 and 7, A over a two acre factory space was severely damaged, demolished",51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
73,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,E.40 a two floor storage building 120x80 severely damaged,51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
74,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"D.94, 95 and 96 A range of buildings of one and two floors used as turney, forges and store, severely damaged.",51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
75,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"E.135 and 136, 400x400 buildings used as laboratories and store severely damaged",51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
76,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"E.151 to 164A, 14 buildings each about 450x60 used as stores, large amount of stock on open ground covering about a quarter square mile, severely damaged",51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
77,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,24 buiidings all slightly damaged,51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
78,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"E.2, a range of buildings damaged covering 250x100. Area used as explosive works and stores, severely damaged.",51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
79,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,A.75 A building of 4 floors and basement 250 x200 used as offices and stores amaged,51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
80,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,E.31a  two floor 150x60 storage building damaged,51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
81,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"Total casualties, 49 males killed, 67 males injured.",51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
82,16:14,"Bolsoms Ltd.(Furnishing Co.) Lewisham High Street, SE13, London, UK",IB,"Bolsom Bro's, Furniture shop: 100x40 two floor building, used as showrooms severley damaged",51.45795000,-0.01312470,"Lewisham High St, London SE13, UK",Google
83,16:20,"Chiesmans Depository, Lewisham High Street, SE13, London, UK",IB,universal providers: 100x30 three floor building severely damaged,51.45795000,-0.01312470,"Lewisham High St, London SE13, UK",Google
84,16:40,"Newby Place, Poplar E14, London, UK",IB,"Poplar Public Hall. Building of 2 floors 80x60 . 5/6 Severely damaged, most of roof off.",51.51016350,-0.01215040,"Newby Pl, London E14, UK",Google
85,16:57,"Old Tram Yard, Lakedale Road, Plumstead, SE18, London, UK",EB,"120x100 of garage, stables, an stores and contents, including two cars damaged. Two horses killed. Range of buildings and one floor 350x70  contents and stored damaged.",51.48743880,0.09122840,"Lakedale Road & Old Tramyard, London SE18 1PP, UK",Google
86,16:57,"Old Tram Yard, Lakedale Road, Plumstead, Se18, London, UK",EB,A surface air raid shelter of 40x20 damaged,51.48743880,0.09122840,"Lakedale Road & Old Tramyard, London SE18 1PP, UK",Google
87,16:57,"Lakedale Road and plumstead High Street SE18, London, UK",EB,"Two people killed, several injured. Buildingd damaged.",51.48765570,0.09131680,"Lakedale Rd & Plumstead High St, London SE18 1PP, UK",Google
88,17:03,"70 Croft Street Deptford, SE8, London, UK",IB,back rooms 1st floor damaged,51.49125190,-0.04020960,"70 Croft St, London SE8, UK",Google
89,17:03,"41 Windmill Lane, Deptford, Se8, London, UK",Eb,Dairy shop and 15 private houses damaged,51.54591810,0.00398320,"41 Windmill Ln, London E15, UK",Google
90,17:05,"61 Basildon Road Abbey Wood, SE2, London, UK",EB,2 private houses damaged,51.48639350,0.10710350,"61 Basildon Rd, London SE2 0ET, UK",Google
91,17:05,"35 Basildon Road, Abbey Wood, SE2, London, UK",EB,41 private houses damaged.,51.48585540,0.10692700,"35 Basildon Rd, London SE2 0ET, UK",Google
92,17:05,"Basildon Road, Abbey Wood, SE2, London, UK",EB,"South Met Gas Company, 18"" gas main, 20 ft of electric cables, 30x20 roadway damage.",51.48673010,0.10742100,"Basildon Rd, London SE2, UK",Google
93,17:07,"Cordelia Street, Poplar E14, London, UK",IB,Number of IB burned out on road,51.51372870,-0.01747240,"Cordelia St, London E14, UK",Google
94,17:07,"13 Cordelia Street, Poplar, E14, London, UK",IB,House of 6 rooms and contents severely damaged,51.51381010,-0.01895240,"13 Cordelia St, London E14 6AS, UK",Google
95,17:12,"Poplar High Street, Poplar, E14, London, UK",EB,St. Mathias Church. 30x20 paveing damaged. 40 feet of brink and some iron railings damaged,51.50888750,-0.01407850,"Poplar High St, London E14, UK",Google
96,17:12,"The Vicarage, Poplar, E14, London, UK",EB,Damaged by explosion,51.51696730,-0.10635680,"The Vicarage, St Andrew St, London EC4A 3BQ, UK",Google
97,17:15,"Colin Street, Bromley-By-Bow E3, London, UK",IB,12 private houses of about 6 rooms and contents severely damaged,51.52782080,-0.01283730,"Bromley By Bow, London, UK",Google
98,17:15,"Empson St, Bromley-By-Bow E3, London, UK",IB,Berger Hall Central Church and Medical Mission back building of 1 and 2 floors about 70 x 50ft (used as Mission Hall) and contents severely damaged. Collapsed and fallen down,51.52216780,-0.01314260,"Empson St, London E3, UK",Google
99,17:15,"Marner St School, Marner Street E3, London, UK",IB,A building of 3 floors about 150 x 80 feet about 2/3 of contents severely damaged. Most part of roof off. doors and window glass damaged by breakage,51.52114850,-0.03234200,"Eric Street, Bow, London E3 4JG, UK",Google
100,17:15,"St. Leonards Wharf, Bromley E3, London, UK",IB, Unoccupied Sun Flour Mills Co. LTD. About 30 x 20 ft of deck planking damaged. Building of 3 floors about 80 x 60 ft( used as grain store) about 3/4 severely damaged. Most part of roof off.,51.51710350,-0.00860430,"St Leonards Wharf, 49 Bromley Hall Rd, Aberfeldy Village, London E14 0LF, UK",Google
101,17:15,"242 Brunswick Rd, Poplar, E14, London, UK",IB,Wine and Spirit Merchants. Building of 3 floors about 80x 40ft used as bottling stores. 4/5 of 3rd floor and contents severely damaged. Most part of roof off.,51.51230740,-0.00766770,"Brunswick Rd, London E14, UK",Google
102,17:15,"242, Brunswick Rd, Poplar, E14, London, UK",IB,"One half of 2nd floor slightly damaged by water, window glass damaged by breakage.",51.51230740,-0.00766770,"Brunswick Rd, London E14, UK",Google
103,17:15,"240 Brunswick Rd, Poplar, E14, London, UK",IB,Wine Growers- Building of 3 floors about 300x 60ft ( used as wine stores) about 2/3 of top floor and contents severely damaged. Most part of roof off. Contents under slightly by water.,51.51230740,-0.00766770,"Brunswick Rd, London E14, UK",Google
104,17:15,"240 Brunswick Rd, Poplar, E14, London, UK",IB,"A building of 4 floors about 100 x 60 ft, fourth floor severely damaged. Most part of roof off.",51.51230740,-0.00766770,"Brunswick Rd, London E14, UK",Google
105,17:15,"Empson St Bromley E3, London, UK",IB,About 200 tons of electric power cable and a quantity of electric apparatus damaged.,51.52216780,-0.01314260,"Empson St, London E3, UK",Google
106,17:15,"Colin Street, Bromley-By-Bow, E3, London, UK",IB,"Timber yard of 15 acres with 200 stacks of timber, 2dumb barges, 2 motor lorries, a tractor, 4 cars, and a range of 1-4 floor buildings, (used as workspace, sawmills, offices, canteens, garages and stores). About 5/6 severely damaged and part roof off.",51.52782080,-0.01283730,"Bromley By Bow, London, UK",Google
107,17:23,"Friendsliy Place, Greenwhich SE10, London, UK",EB,"A. Gilbey & Sons, printing and ink manufacturers. Workshopds office and storage damaged",51.47243130,-0.01503930,"Friendly Pl, London SE10, UK",Google
108,17:24,"26, Bruce Road, Poplar, Greater London E3 3, London, UK",IB,"House of 8 rooms, first floor and contents slightly damaged. Contents under slightly by water, doors and window glass by breakage.",51.52644360,-0.01580330,"26 Bruce Rd, London E3 3HR, UK",Google
109,17:24,"141 Albert Road, North Woolwich E16, London, UK",IB,"Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off",51.49991070,0.06287110,"141 Albert Rd, London E16 2JD, UK",Google
110,17:24,"143 Albert Road, North Woolwich E16, London, UK",IB,"Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off",51.50005490,0.06273410,"143 Albert Rd, London E16, UK",Google
111,17:24,"145 Albert Road, North Woolwich E16, London, UK",IB,"Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off",51.49994780,0.06256610,"145 Albert Rd, London E16 2JD, UK",Google
112,17:24,"147 Albert Road, North Woolwich E16, London, UK",IB,"Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off",51.49992160,0.06246020,"Sky Studios, 147 Albert Rd, London E16 2JA, UK",Google
113,17:30,"9 Sevenoaks Road Brokerley SE4, London, UK",IB,IB burned out in garden,51.45296160,-0.03812590,"9 Sevenoaks Rd, London SE4 1RA, UK",Google
114,17:30,"11 Sevenoaks Road, Brockley, SE4, London, UK",IB,Front room on 1st floor severely damaged,51.45282190,-0.03812990,"11 Sevenoaks Rd, London SE4 1RA, UK",Google
115,17:30,"Bruce RD, Bromley E3, London, UK",IB,IB bomb burned out on road,51.52733990,-0.01309010,"Bruce Rd, London E3, UK",Google
116,17:31,"459 Brockley Road, Brocklet SE4, London, UK",IB,Shop and house of 8 rooms  damaged,51.45253070,-0.03865010,"459 Brockley Rd, London SE4 2PJ, UK",Google
117,17:31,"Bruce RD, Bromley E3, London, UK",IB,IB bomb burned out on road,51.52733990,-0.01309010,"Bruce Rd, London E3, UK",Google
118,17:31,"46 Bruce Rd, Bromley E3, London, UK",IB,"House of 8 rooms, 2 back rooms on first floor and contents slightly damaged.",51.52694780,-0.01500350,"46 Bruce Rd, London E3 3HL, UK",Google
119,17:33,"142 Foxberry Road, Brockley, SE4, London, UK",IB,Back room on 1st floor and contents damaged,51.46099190,-0.03560410,"142 Foxberry Rd, London SE4 2SH, UK",Google
120,17:34,"75 ComerfordRoad Brockley se4, London, UK",IB,IB on enclosed ground at rear of premises,51.45868720,-0.03406140,"75 Comerford Rd, London SE4, UK",Google
121,17:35,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,Many buildings in there sections damaged by explosion and fire,51.49516180,0.07059710,"Woolwich (Royal Arsenal), Marlborough Rd, Royal Arsenal, London SE18 6TL, UK",Google
122,17:35,"Creek Bridge, Creek Road, Greenwich SE10, London, UK",EB,Owned by London County Council10x6 of carriage way,51.48144650,-0.01345410,"Creek Rd, London SE10, UK",Google
123,17:35,"Three Mill Lane, Greater London E3 3, London, UK",IB,A number of IB bombs burned out on road,51.52820250,-0.00766970,"Three Mill Ln, London E3, UK",Google
124,17:36,"Edward Street SE14, London, UK",Crude oil bomb,4x6 roadway and paving damage,51.47946300,-0.03402060,"Edward St, London SE14, UK",Google
125,17:36,"35 Colwick Street Deptford SE8, London, UK",EB,front room on 1st floor damaged. ,51.48079880,-0.02310990,"Deptford, London, UK",Google
126,17:36,"Deptford Park, Evelyn Street, Deptford, SE8, London, UK",IB,Many IB burnt out in park,51.48654520,-0.03922380,"Deptford Park, 23 Scawen Rd, London SE8 5AE, UK",Google
127,17:40,"Church hill Woolwich, SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.49320000,0.05810870,"Church Hill, London SE18, UK",Google
128,17:40,"Kingsman Street, Woolwich, SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.49114050,0.05985990,"Kingsman St, London SE18, UK",Google
129,17:40,"Sunsbury Street, Woolwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.49209780,0.05767770,"Sunbury St, London SE18, UK",Google
130,17:40,"Glenalvon Street, Woolwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.47819820,0.07620530,"London SE18, UK",Google
131,17:40,"Woolwich Church Street, Woolwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.49288950,0.05316940,"Woolwich Church St, London SE18, UK",Google
132,17:40,"Artillery Place, Wollwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.48752920,0.05863600,"Artillery Pl, London SE18, UK",Google
133,17:40,"Powis Street, Woolwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.49207420,0.06432390,"Powis St, London SE18, UK",Google
134,17:40,"Chapel Hill, Woolwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.59847760,-0.16309930,"Chapel Hill, London N2, UK",Google
135,17:40,"Woolwich high Street, Woolwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.49378930,0.06303570,"Woolwich High St, London SE18, UK",Google
136,17:40,"John Wilson Street, Woolwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.49026160,0.06224270,"John Wilson St, London SE18, UK",Google
137,17:40,"Plumstead Road, Woolwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.49104690,0.07838160,"Plumstead Rd, London SE18, UK",Google
138,17:40,"Paradise Place Woolwich SE18, London, UK",IB,Minor fire damage in all these thoroughfares,51.47819820,0.07620530,"London SE18, UK",Google
139,17:41,"14, Three Mill Lane, Greater London, E3, London, UK",IB,"House of 8 rooms, front and middle room on first floor and contents damaged. ",51.52962020,-0.00881840,"14 Three Mill Ln, London E15 2QS, UK",Google
140,17:42,"1 Reeves Road, Bow, E3, London, UK",IB,"House of 4 rooms, severely damaged",51.52399380,-0.01555580,"1 Reeves Rd, London E3 3PL, UK",Google
141,17:43,"Ebenezer Place, Chrisp Street, Poplar, E14, London, UK",EB,30x20 roadway and paving damaged. Electric power cables destroyed,51.51438600,-0.01460540,"Chrisp St, London E14, UK",Google
142,17:43,"120 Chrisp Street, Poplar, E14, London, UK",EB,Shop and house of 7 rooms  and contents severely damaged ,51.51474060,-0.01456980,"120 Chrisp St, London E14 6NL, UK",Google
143,17:44,"Wotton Way, Deptford, SE8, London, UK",IB,IB burned out in street,51.48089470,-0.03085300,"Wotton Rd, London SE8, UK",Google
144,17:45,"18 Sevenoaks Road, Crofton park, SE4, London, UK",IB,Front room on 1st floor severely damaged,51.45296200,-0.03823990,"18 Sevenoaks Rd, London SE4 1RB, UK",Google
145,17:45,"8 Sevenoaks Road Crofton Park, SE4, London, UK",IB,Front room on 1st floor severely damaged,51.45266210,-0.03781250,"8 Sevenoaks Rd, London SE4 1RB, UK",Google
146,17:45,"112 Foxberry Road, Brockley, London, UK",IB,front room above shop and contents damaged,51.46138140,-0.03640550,"112 Foxberry Rd, London SE4 2SH, UK",Google
147,17:45,"Reeves Road, Bow, E3, London, UK",IB,Number of IB burned out on road,51.52365390,-0.01594700,"Reeves Rd, Bow, London E3, UK",Google
